NumIters	Seconds	LearningRate	loss
171400.0	63021.212827	0.001	0.184108
171420.0	63028.595402	0.001	0.216738
171440.0	63035.942276	0.001	0.317245
171460.0	63043.19882	0.001	0.310061
171480.0	63050.586936	0.001	0.277458
171500.0	63058.059556	0.001	0.660933
171520.0	63065.52997	0.001	0.109384
171540.0	63072.96822	0.001	0.7375
171560.0	63080.362768	0.001	0.166357
171580.0	63087.563751	0.001	0.308253
171600.0	63094.778487	0.001	0.269377
171620.0	63102.275422	0.001	0.802452
171640.0	63109.514577	0.001	0.4257
171660.0	63116.761329	0.001	1.04963
171680.0	63123.960959	0.001	0.168091
171700.0	63131.181324	0.001	0.59725
171720.0	63138.610214	0.001	0.21676
171740.0	63145.986582	0.001	0.131678
171760.0	63153.229974	0.001	0.0757988
171780.0	63160.46315	0.001	0.485747
171800.0	63167.887718	0.001	0.298703
171820.0	63175.154584	0.001	0.655468
171840.0	63182.490373	0.001	0.275834
171860.0	63189.909865	0.001	0.181525
171880.0	63197.153798	0.001	0.297013
171900.0	63204.558328	0.001	0.867163
171920.0	63211.898917	0.001	0.576648
171940.0	63219.290459	0.001	0.166082
171960.0	63226.68716	0.001	0.256498
171980.0	63234.125025	0.001	0.17123
172000.0	63241.643354	0.001	0.174924
172020.0	63248.984491	0.001	0.340801
172040.0	63256.350035	0.001	0.160256
172060.0	63263.658305	0.001	0.599889
172080.0	63271.095775	0.001	0.564581
172100.0	63278.496776	0.001	0.67611
172120.0	63285.864763	0.001	0.165252
172140.0	63293.29471	0.001	0.408691
172160.0	63300.631536	0.001	0.253766
172180.0	63307.972113	0.001	1.04175
172200.0	63315.276902	0.001	0.513306
172220.0	63322.53002	0.001	0.509857
172240.0	63330.18911	0.001	0.0922463
172260.0	63337.498454	0.001	0.453085
172280.0	63344.980844	0.001	0.555062
172300.0	63352.4419	0.001	0.205315
172320.0	63359.723816	0.001	0.525925
172340.0	63367.032349	0.001	0.202395
172360.0	63374.51809	0.001	0.0949995
172380.0	63381.825805	0.001	0.587745
172400.0	63389.244009	0.001	0.21453
172420.0	63396.709918	0.001	0.180217
172440.0	63404.02754	0.001	0.230885
172460.0	63411.376231	0.001	0.294026
172480.0	63418.702255	0.001	0.135088
172500.0	63426.145864	0.001	0.190164
172520.0	63433.321974	0.001	0.391438
172540.0	63440.672041	0.001	0.0998008
172560.0	63447.897719	0.001	0.45485
172580.0	63455.178125	0.001	0.774916
172600.0	63462.526306	0.001	0.355708
172620.0	63469.796281	0.001	0.0734701
172640.0	63477.200181	0.001	0.1839
172660.0	63484.649641	0.001	0.173757
172680.0	63492.098925	0.001	0.258365
172700.0	63499.3483	0.001	0.829179
172720.0	63506.844286	0.001	0.414542
172740.0	63514.138043	0.001	0.106693
172760.0	63521.530666	0.001	0.261279
172780.0	63528.709311	0.001	0.453295
172800.0	63535.994197	0.001	0.413541
172820.0	63543.416631	0.001	0.193572
172840.0	63550.719007	0.001	0.66384
172860.0	63558.166827	0.001	0.165055
172880.0	63565.626472	0.001	0.129084
172900.0	63572.912441	0.001	0.374136
172920.0	63580.162755	0.001	0.518387
172940.0	63587.571168	0.001	0.254877
172960.0	63595.137845	0.001	0.165994
172980.0	63602.619238	0.001	0.177345
173000.0	63609.982595	0.001	0.480358
173020.0	63617.348557	0.001	0.585413
173040.0	63624.77175	0.001	0.239107
173060.0	63632.116549	0.001	0.55025
173080.0	63639.324337	0.001	0.13633
173100.0	63646.619374	0.001	0.243416
173120.0	63654.031481	0.001	0.801298
173140.0	63661.388346	0.001	0.155921
173160.0	63668.616848	0.001	0.49863
173180.0	63675.920336	0.001	0.489708
173200.0	63683.23544	0.001	0.775287
173220.0	63690.611943	0.001	0.46825
173240.0	63697.88431	0.001	0.238681
173260.0	63705.333855	0.001	0.749857
173280.0	63712.653466	0.001	0.52593
